Id,Descripción,Localización,Enlace,Precio,Última Actualización,Timestamp_Scrapeo,Superficie Construida,Habitaciones,Baños,Antigüedad,Conservación,Superficie Útil,Tipo De Casa,CP,CP_encoded,Planta_11ª,Planta_12ª,Planta_13ª,Planta_14ª,Planta_15ª,Planta_16ª,Planta_17ª,Planta_1ª,Planta_2ª,Planta_3ª,Planta_4ª,Planta_5ª,Planta_6ª,Planta_7ª,Planta_8ª,Planta_9ª,Planta_Bajo,Planta_Entresuelo,Planta_Más de 20,Planta_No especificado,Planta_Principal,Planta_Semisótano,Planta_Sótano,cluster
401ea2e3-60de-4e1a-a09d-010a5931b724,"Piso en venta en Calle de Triana, 28, cerca de Avenida de Alfonso XIII",Centro (Alcobendas),https://www.pisos.com/comprar/piso-alcobendas_centro28100-48357825603_998861/,0.009523809523809523,2024-11-05,2024-11-06 00:00:53.587877,0.0823293172690763,2,2,0,2,0.06484295845997974,5,28100,0.08589473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bf3b6872-a093-4bdb-82e9-c07fe205abe9,Piso en venta en Zarzaquemada,Zarzaquemada (Leganés),https://www.pisos.com/comprar/piso-leganes_zarzaquemada28915-47546199197_100200/,0.010977443609022556,2024-09-26,2024-11-06 00:00:56.243114,0.06927710843373494,3,1,2,2,0.14478648630522947,5,28911,0.09326315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
e05582d2-aff5-46b5-b4a4-152eaa600a51,Piso en venta en Calle de los Decoradores,Hellín (Distrito San Blas. Madrid Capital),https://www.pisos.com/comprar/piso-san_blas_hellin28037-47531843148_100500/,0.007518796992481203,2024-11-05,2024-11-06 00:00:58.776372,0.04919678714859437,2,1,5,2,0.04761904761904762,5,28037,0.09010526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bd2a6700-cc1e-4e71-b55d-8de72784af0e,Estudio en venta en Calle de Ginzo de Limia,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),https://www.pisos.com/comprar/estudio-pilar28029-41743148487_100500/,0.011022556390977442,2024-11-05,2024-11-06 00:01:01.262636,0.04618473895582329,No especificado,1,5,2,0.03951367781155015,3,28048,0.2947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7ea0348a-c4e6-454e-bc5a-e4ed93e9804e,Casa adosada en venta en Torrejón de La Calzada,Torrejón de la Calzada,https://www.pisos.com/comprar/casa_adosada-torrejon_de_la_calzada_centro_urbano-45068979068_100200/,0.017538847117794486,2024-10-25,2024-11-06 00:01:03.932601,0.24397590361445778,3,3,0,2,0.14478648630522947,0,0,0.09894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
d817df6d-7bf7-4546-81f9-c844bd1038a9,Chalet en venta en Las Lomas,Las Lomas (Boadilla del Monte),https://www.pisos.com/comprar/chalet-boadilla_del_monte_las_lomas-47518911706_101800/,0.08496240601503759,2024-10-04,2024-11-06 00:01:06.580658,0.000141566265060241,8,5,1,3,0.14478648630522947,1,28660,0.45136842105263164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
c6972ed4-92a3-49cf-93b1-6d94313bfc3a,"Chalet en venta en Avenida del Monte, cerca de Calle de Buenavista",Los Peñascales (Torrelodones),https://www.pisos.com/comprar/chalet-los_penascales-47596307024_101800/,0.03483709273182957,2024-09-27,2024-11-06 00:01:09.176677,0.26004016064257024,3,3,1,3,0.14478648630522947,1,28250,0.3242105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
a91dc422-e47f-4bcf-a8d9-050b18f20628,"Ático en venta en Calle de Juan de Urbieta, cerca de Calle del Conde de Cartagena",Niño Jesús (Distrito Retiro. Madrid Capital),https://www.pisos.com/comprar/atico-nino_jesus28007-45066276232_997608/,0.045112781954887216,2024-11-04,2024-11-06 00:01:11.712203,0.15963855421686746,1,2,5,4,0.10233029381965553,4,28007,0.328421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
462ad9f4-9313-4a0c-be06-531a75a8dbbf,"Piso en venta en Calle de la Palma, cerca de Calle de San Vicente Ferrer",Universidad-Malasaña (Distrito Centro. Madrid Capital),https://www.pisos.com/comprar/piso-universidad_malasana28004-45899889901_100200/,0.020050125313283207,2024-11-05,2024-11-06 00:01:14.300384,0.09136546184738956,2,No especificado,6,2,0.14478648630522947,5,28004,0.36378947368421055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
b2fb5d67-0f63-4c09-95ae-f28585949f0b,Piso en venta en Calle de Jaime Tercero,Puerta del Ángel (Distrito Latina. Madrid Capital),https://www.pisos.com/comprar/piso-puerta_del_angel-48399329216_100500/,0.008766917293233083,2024-11-05,2024-11-06 00:01:16.824708,0.04718875502008032,3,1,5,2,0.04154002026342452,5,28011,0.09052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
