id,Descripción,Localización,Enlace,Precio,Última Actualización,Tipo de operación,timestamp_scrapeo,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Superficie útil,Tipo de Casa,codigo_postal,codigo_postal_encoded,Planta_2ª,Planta_3ª,Planta_4ª,Planta_5ª,Planta_6ª,Planta_7ª,Planta_8 o más,Planta_Bajo,Planta_Entresuelo,Planta_No especificado,Planta_Principal,cluster
706f3a79-438b-4ac7-a5ca-24fa41dc05fc,"Piso en alquiler en Calle del Doctor Castelo, cerca de Calle de Narváez",Ibiza (Distrito Retiro. Madrid Capital),https://www.pisos.com/alquilar/piso-ibiza28009-27598051006_100500/,4700.0,2024-10-28,Alquiler,2024-11-04 13:51:33.820609,245.0,4.0,4.0,6,2,200.0,5,28009,2544.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
b819b35d-b1e7-4b5c-a3af-7dc3983f1632,"Piso en alquiler en Calle de la Princesa, cerca de Calle del Seminario de Nobles",Universidad-Malasaña (Distrito Centro. Madrid Capital),https://www.pisos.com/alquilar/piso-universidad_malasana28008-48345164450_100500/,2000.0,2024-10-24,Alquiler,2024-11-04 13:51:40.653548,85.0,2.0,2.0,5,3,80.0,5,28004,3456.7175572519086,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
c762e53c-6d52-456e-904b-1d74f4c65342,"Apartamento en alquiler en Calle de Ponzano, cerca de Calle de Ríos Rosas",Ríos Rosas (Distrito Chamberí. Madrid Capital),https://www.pisos.com/alquilar/apartamento-rios_rosas28003-46763772620_101800/,2640.0,2024-08-30,Alquiler,2024-11-04 13:51:47.826531,50.0,1.0,1.0,6,3,90.0,4,28015,3018.4028776978416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8afcfe61-5a4d-4f72-8182-8642198efd29,Piso en alquiler en Calle de los Cañizares,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-45088889254_100500/,1100.0,2024-11-04,Alquiler,2024-11-04 13:51:56.124309,49.0,1.0,1.0,1,2,45.0,5,28012,2193.43137254902,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
512811b5-2df4-4e84-997c-e631a35df272,"Apartamento en alquiler en Paseo de la Habana, cerca de Calle de Herreros de Tejada",Hispanoamérica (Distrito Chamartín. Madrid Capital),https://www.pisos.com/alquilar/apartamento-chamartin_hispanoamerica28036-40917058225_101800/,9250.0,2024-10-18,Alquiler,2024-11-04 13:52:02.888348,287.0,5.0,4.0,2,3,90.0,4,28036,2965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
72e88deb-0135-48fc-b7e7-b68963695bb7,Piso en alquiler en Cortes-Huertas,Cortes-Huertas (Distrito Centro. Madrid Capital),https://www.pisos.com/alquilar/piso-cortes_huertas28014-48374610449_100500/,2090.0,2024-10-31,Alquiler,2024-11-04 13:52:10.325930,67.0,2.0,1.0,6,2,90.0,5,28014,2271.3793103448274,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
d6ddceb5-f89d-43f6-9081-97213feac403,Casa adosada en alquiler en Ajalvir,Ajalvir,https://www.pisos.com/alquilar/casa_adosada-ajalvir_centro_urbano-48350295002_100500/,1390.0,2024-10-23,Alquiler,2024-11-04 13:52:18.223871,174.0,4.0,2.0,2,3,120.0,0,28864,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
fe04b0cf-e708-430e-ac7a-b5b3a9e3f834,Piso en alquiler en Calle de la Condesa del Venadito,San Pascual (Distrito Ciudad Lineal. Madrid Capital),https://www.pisos.com/alquilar/piso-ciudad_lineal_san_pascual-47584289721_108900/,1590.0,2024-11-04,Alquiler,2024-11-04 13:52:24.598526,92.0,2.0,2.0,6,3,70.0,5,28027,2010.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
e44407af-6d1c-49ef-a177-2239f194ecde,Apartamento en alquiler en Ríos Rosas,Ríos Rosas (Distrito Chamberí. Madrid Capital),https://www.pisos.com/alquilar/apartamento-rios_rosas28003-45868252695_101800/,3200.0,2024-10-29,Alquiler,2024-11-04 13:52:32.124383,153.0,4.0,3.0,2,3,90.0,4,28015,3018.4028776978416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6c84f7e4-9509-4779-85f9-2a74fe26d957,Casa adosada en alquiler en El Bosque,El Bosque (Villaviciosa de Odón),https://www.pisos.com/alquilar/casa_adosada-villaviciosa_de_odon_el_bosque28670-48344517181_101800/,2950.0,2024-10-24,Alquiler,2024-11-04 13:52:39.727439,178.0,4.0,3.0,4,3,90.0,0,28670,2847.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
55be7e98-14e0-4fc0-8faf-8ca9852ff97f,Piso en alquiler en Abrantes,Abrantes (Distrito Carabanchel. Madrid Capital),https://www.pisos.com/alquilar/piso-abrantes28025-48363444108_100500/,1200.0,2024-10-30,Alquiler,2024-11-04 13:52:46.805304,83.0,3.0,1.0,6,2,90.0,5,28025,1165.6976744186047,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1fd945ee-0fc3-484b-afb1-2e2bc7346fc8,Piso en alquiler en El Encinar de los Reyes,Encinar de los Reyes (La Moraleja),https://www.pisos.com/alquilar/piso-la_moraleja_encinar_de_los_reyes-98339226970_179400/,2800.0,2024-11-01,Alquiler,2024-11-04 13:52:53.297674,150.0,2.0,2.0,0,4,130.0,5,28109,4487.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a6be9506-96c4-4361-ba7d-5b49ab9a462b,Piso en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),https://www.pisos.com/alquilar/piso-salamanca_castellana28046-25864669701_515716/,3800.0,2024-11-03,Alquiler,2024-11-04 13:53:02.452209,230.0,4.0,3.0,5,4,217.0,5,28006,3701.586021505376,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
462ee023-cf12-47d9-b2b9-fb418288ca23,Apartamento en alquiler en Centro,Centro (Las Rozas de Madrid),https://www.pisos.com/alquilar/apartamento-las_rozas_de_madrid_centro28231-45885436681_101800/,1600.0,2024-10-28,Alquiler,2024-11-04 13:53:09.450564,140.0,3.0,2.0,2,3,90.0,4,28231,2672.733333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
b7088507-2d92-4f88-b337-fcd9ecb6049d,"Piso en alquiler en Calle de las Cuevas de Altamira, 2",Buenavista (Distrito Carabanchel. Madrid Capital),https://www.pisos.com/alquilar/piso-carabanchel_buenavista28054-42556989058_100500/,945.0,2024-11-02,Alquiler,2024-11-04 13:53:16.941764,76.0,1.0,1.0,6,2,90.0,5,28025,1165.6976744186047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4991d942-cf4a-46ff-a04d-515f386061dc,Apartamento en alquiler en Calle de Calatrava,Palacio (Distrito Centro. Madrid Capital),https://www.pisos.com/alquilar/apartamento-centro_palacio28005-48408496015_523686/,1425.0,2024-10-15,Alquiler,2024-11-04 13:53:25.177407,70.0,1.0,1.0,4,2,70.0,4,28013,2896.792207792208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
83a95995-c6fa-4aa1-a790-106eff602900,Chalet en alquiler en Club de Golf,Club de Golf-Molino de la Hoz (Las Rozas de Madrid),https://www.pisos.com/alquilar/chalet-club_de_golf_molino_de_la_hoz28290-48369991365_100500/,7500.0,2024-10-30,Alquiler,2024-11-04 13:53:32.023888,1.5,6.0,8.0,1,3,1.0,1,28231,2672.733333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
63518e5f-a284-4993-94cc-e98fe8be4490,Piso en alquiler en Calle Corredera Baja de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),https://www.pisos.com/alquilar/piso-universidad_malasana28004-48359958668_100500/,1100.0,2024-10-31,Alquiler,2024-11-04 13:53:38.637223,58.0,1.0,1.0,5,2,90.0,5,28004,3456.7175572519086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
cc5e14e2-3ad5-47ed-bb20-debd24476fb9,Apartamento en alquiler en Cortes-Huertas,Cortes-Huertas (Distrito Centro. Madrid Capital),https://www.pisos.com/alquilar/apartamento-cortes_huertas28014-48415811993_101800/,3500.0,2024-10-29,Alquiler,2024-11-04 13:53:47.135051,188.0,4.0,4.0,5,3,90.0,4,28014,2271.3793103448274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
66968313-49bf-4e60-8c9b-b2193b02c22e,Piso en alquiler en Buenavista,Buenavista (Distrito Carabanchel. Madrid Capital),https://www.pisos.com/alquilar/piso-carabanchel_buenavista28044-44199543363_100500/,990.0,2024-05-30,Alquiler,2024-11-04 13:53:54.291960,70.0,3.0,1.0,6,2,90.0,5,28025,1165.6976744186047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
c6655237-4025-4e13-902a-fc258e4ce37e,Piso en alquiler en Portazgo,Portazgo (Distrito Puente de Vallecas. Madrid Capital),https://www.pisos.com/alquilar/piso-puente_de_vallecas_portazgo28038-47528496017_100500/,970.0,2024-09-05,Alquiler,2024-11-04 13:54:01.037195,50.0,2.0,1.0,5,2,90.0,5,28038,1047.3833333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
d73ccd99-4331-4a52-ab0d-5cb7a7f3231e,Piso en alquiler en Amposta,Amposta (Distrito San Blas. Madrid Capital),https://www.pisos.com/alquilar/piso-san_blas_amposta-44225463722_100500/,900.0,2024-08-22,Alquiler,2024-11-04 13:54:08.970209,51.0,2.0,1.0,6,2,90.0,5,28037,1197.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4a123309-83b4-4d43-8cc8-213bd2763887,Piso en alquiler en Comillas,Comillas (Distrito Carabanchel. Madrid Capital),https://www.pisos.com/alquilar/piso-carabanchel_comillas28019-43424920451_100500/,1080.0,2024-10-10,Alquiler,2024-11-04 13:54:16.506121,66.0,3.0,1.0,6,2,90.0,5,28025,1165.6976744186047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
