Id,Descripción,Localización,Enlace,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Timestamp_Scrapeo,Superficie Construida,Habitaciones,Baños,Antigüedad,Conservación,Superficie Útil,Planta,Tipo De Casa
28bf997b-b69e-4c0a-820d-5f3a7dbb1473,Piso en venta en Vallecas,Numancia (Distrito Puente de Vallecas. Madrid Capital),https://www.pisos.com/comprar/piso-numancia28038-47588869571_109300/,155000.0,2024-11-05,,,compra,2024-11-06T06:37:54.986209,49.0,1,1,No especificado,Reformado,45.0,4ª,Piso
a985add3-b153-44a4-b863-cee0cf68d74f,Casa en venta en Calle del Príncipe Felipe,Daganzo de Arriba,https://www.pisos.com/comprar/casa-daganzo_de_arriba_centro_urbano-47577988535_100700/,116000.0,2024-10-15,,,compra,2024-11-06T06:37:57.455952,55.0,No especificado,No especificado,Entre 10 y 20 años,No especificado,44.0,No especificado,Casa
5532d3f8-ae7b-4a84-a2ad-042cdd983019,Piso en venta en San Pascual,San Pascual (Distrito Ciudad Lineal. Madrid Capital),https://www.pisos.com/comprar/piso-ciudad_lineal_san_pascual-43349684426_100200/,299000.0,2024-10-28,Consumo:267 kWh/m² año,Emisiones:63 Kg CO₂/m² año,compra,2024-11-06T06:38:00.351091,85.0,3,1,No especificado,En buen estado,No especificado,No especificado,Piso
7c29e7e0-e2c9-4682-ba92-68f41ecf9d2b,Piso en venta en San Pascual,San Pascual (Distrito Ciudad Lineal. Madrid Capital),https://www.pisos.com/comprar/piso-ciudad_lineal_san_pascual-45867654005_100200/,219000.0,2024-10-25,Consumo:261 kWh/m² año,Emisiones:74 Kg CO₂/m² año,compra,2024-11-06T06:38:03.013284,85.0,3,1,No especificado,En buen estado,No especificado,2ª,Piso
b951cd0c-1ea5-45fc-8996-beb26e4988b4,Piso en venta en Calle de Ibiza,Humanes de Madrid,https://www.pisos.com/comprar/piso-humanes_de_madrid_centro_urbano-48428936433_100700/,232000.0,2024-10-29,,,compra,2024-11-06T06:38:05.758870,116.0,No especificado,No especificado,No especificado,No especificado,116.0,No especificado,Piso
7dcf5e2b-fbe4-4e8f-b185-fab91b5254f9,Piso en venta en Calle de Valdesaz,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),https://www.pisos.com/comprar/piso-casco_historico_de_vallecas28031-48406406448_100700/,200000.0,2024-10-30,,,compra,2024-11-06T06:38:08.279247,79.0,No especificado,No especificado,No especificado,No especificado,79.0,2ª,Piso
1c6f41df-876e-4eba-bdcb-93960e03c7e6,Piso en venta en Marroquina,Marroquina (Distrito Moratalaz. Madrid Capital),https://www.pisos.com/comprar/piso-marroquina28030-45891297203_100200/,330000.0,2024-07-04,Consumo:285 kWh/m² año,Emisiones:60 Kg CO₂/m² año,compra,2024-11-06T06:38:11.038263,101.0,3,2,No especificado,En buen estado,No especificado,1ª,Piso
296d8068-d892-4e5a-aa64-79845ee81748,Piso en venta en Paseo San Francisco de Sales,Vallehermoso (Distrito Chamberí. Madrid Capital),https://www.pisos.com/comprar/piso-chamberi_vallehermoso28003-40916373533_109700/,1958000.0,2024-08-14,,,compra,2024-11-06T06:38:13.578401,182.0,3,2,No especificado,A estrenar,No especificado,No especificado,Piso
c6494610-1144-4776-882b-33e033550722,"Piso en venta en Calle de Moquetas, 11",Valdeacederas (Distrito Tetuán. Madrid Capital),https://www.pisos.com/comprar/piso-valdeacederas28029-4850204396_109700/,305000.0,2024-11-04,,,compra,2024-11-06T06:38:16.260236,80.0,2,2,No especificado,A estrenar,No especificado,1ª,Piso
ad4b2bde-67ab-4e65-912a-51c3e81f567f,Piso en venta en Ciudad 70,Ciudad 70 (Coslada),https://www.pisos.com/comprar/piso-ciudad_70-45915905021_109300/,249900.0,2024-07-31,Consumo:261 kWh/m² año,Emisiones:55 Kg CO₂/m² año,compra,2024-11-06T06:38:18.780457,111.0,3,2,Entre 10 y 20 años,Reformado,No especificado,1ª,Piso
cd605a06-7eb4-4758-b0dc-be58a5203fa9,Casa en venta en Meco,Meco,https://www.pisos.com/comprar/casa-meco_centro_urbano-47557067552_109300/,420000.0,2024-09-18,Consumo:248.6 kWh/m² año,Emisiones:48.2 Kg CO₂/m² año,compra,2024-11-06T06:38:21.473678,223.0,4,3,Entre 20 y 30 años,En buen estado,140.0,No especificado,Casa
add22227-e94c-4c0d-9508-99559c4b2a04,"Piso en venta en Calle de Cibeles, número .",Zona Suroeste (Torrejón de Ardoz),https://www.pisos.com/comprar/piso-zona_suroeste-47510437164_109300/,315000.0,2024-10-29,,,compra,2024-11-06T06:38:23.979751,128.0,2,1,No especificado,No especificado,64.0,2ª,Piso
62b24acd-0305-45bf-8d2c-25c16a6c19f5,Piso en venta en Pilar,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),https://www.pisos.com/comprar/piso-pilar28029-47599276936_100200/,299000.0,2024-10-17,Consumo:197 kWh/m² año,Emisiones:40 Kg CO₂/m² año,compra,2024-11-06T06:38:26.736790,67.0,2,1,Más de 50 años,Reformado,No especificado,6ª,Piso
1d8b5f61-b8a6-44ef-a86b-a8accc24b375,"Piso en venta en Calle de las Madres de la Plaza de Mayo, 32",Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),https://www.pisos.com/comprar/piso-ciudad_lineal_pueblo_nuevo28017-43345048622_109800/,250000.0,2024-10-05,,,compra,2024-11-06T06:38:29.216847,68.0,3,1,Entre 30 y 50 años,En buen estado,68.0,1ª,Piso
05fd9152-2c59-43a5-8210-17276a6370ff,"Dúplex en venta en Calle José Celestino Mutis, número -",Vega de la Moraleja (San Sebastián de los Reyes),https://www.pisos.com/comprar/duplex-vega_de_la_moraleja-35038365233_103600/,599000.0,2024-10-15,,,compra,2024-11-06T06:38:31.985335,124.0,3,2,No especificado,No especificado,124.0,No especificado,Dúplex
b7c2024f-b3f0-4ea2-a23d-0467b43e8090,Piso en venta en Casco Antiguo,Casco Antiguo (Coslada),https://www.pisos.com/comprar/piso-coslada_casco_antiguo28821-45028519480_109300/,195000.0,2024-06-14,,,compra,2024-11-06T06:38:34.692624,66.0,3,1,Más de 50 años,Reformado,59.0,4ª,Piso
0ffd9d9e-1231-4fef-ac22-0f7299be46e6,Casa pareada en venta en Mirador de Villalbilla,Villalbilla,https://www.pisos.com/comprar/casa_pareada-villalbilla_centro_urbano-45094861642_100500/,350000.0,2024-11-04,,,compra,2024-11-06T06:38:37.208578,175.0,3,3,No especificado,No especificado,No especificado,No especificado,Casa
6b5e7f5e-4d99-4d4c-903f-6d2844854d7c,Piso en venta en Calle de Villajoyosa,Los Rosales (Distrito Villaverde. Madrid Capital),https://www.pisos.com/comprar/piso-villaverde_los_rosales28041-41712759154_105900/,119600.0,2024-10-24,,,compra,2024-11-06T06:38:39.948254,81.0,3,1,No especificado,No especificado,No especificado,No especificado,Piso
bceaf445-1372-475d-976f-5b058350eed3,Piso en venta en Pilar,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),https://www.pisos.com/comprar/piso-pilar28029-46673203648_100200/,360000.0,2024-10-25,Consumo:140 kWh/m² año,Emisiones:28 Kg CO₂/m² año,compra,2024-11-06T06:38:42.521112,90.0,3,2,Más de 50 años,En buen estado,No especificado,No especificado,Piso
8dda6336-766a-4008-91d7-7e18981547b4,Piso en venta en Centro Pueblo,Valdilecha,https://www.pisos.com/comprar/piso-valdilecha_centro_urbano-35879501404_100500/,140300.0,2024-11-04,,,compra,2024-11-06T06:38:45.237922,89.0,2,2,Entre 10 y 20 años,No especificado,81.0,1ª,Piso
615c669e-e630-4d8e-ad4f-9ac66ecfce55,"Piso en venta en Calle de Mejorana, número .",Entrevías (Distrito Puente de Vallecas. Madrid Capital),https://www.pisos.com/comprar/piso-puente_de_vallecas_entrevias28053-45877734983_109300/,149900.0,2024-11-05,,,compra,2024-11-06T06:38:47.737357,79.0,3,1,No especificado,No especificado,68.0,3ª,Piso
1feefb27-0bc2-4c79-b1af-22729e76825e,Piso en venta en Ventas,Ventas (Distrito Ciudad Lineal. Madrid Capital),https://www.pisos.com/comprar/piso-ventas28017-45906667071_100200/,199000.0,2024-10-04,,,compra,2024-11-06T06:38:50.472180,57.0,2,1,No especificado,Reformado,No especificado,No especificado,Piso
2a96aa12-f696-4c34-b1b8-a2b406f0329a,"Piso en venta en Calle de Gonzalo Calamita, número -",Centro (Villaviciosa de Odón),https://www.pisos.com/comprar/piso-villaviciosa_de_odon_centro-35079335438_103600/,420000.0,2024-10-15,,,compra,2024-11-06T06:38:52.986121,140.0,3,2,No especificado,No especificado,140.0,No especificado,Piso
44c1a997-20d4-4233-ba7f-9fa4eea4e787,"Piso en venta en Calle de la Paz, número .",Pedrezuela,https://www.pisos.com/comprar/piso-pedrezuela_centro_urbano-46691095548_109300/,192000.0,2024-08-10,,,compra,2024-11-06T06:38:55.757515,77.0,2,2,No especificado,No especificado,64.0,1ª,Piso
f9e511d4-46c2-43ed-af7c-71d82b4e901d,Casa en venta en Calle C Sauce,Colmenar de Oreja,https://www.pisos.com/comprar/casa-colmenar_de_oreja_centro_urbano-30861699300_108300/,70100.0,2024-06-16,,,compra,2024-11-06T06:38:58.365128,255.0,No especificado,2,No especificado,No especificado,No especificado,No especificado,Casa
fce5aa8d-d5e5-459d-99a8-2ff340506203,"Piso en venta en Calle de Villamanín, número .",Lucero (Distrito Latina. Madrid Capital),https://www.pisos.com/comprar/piso-lucero28011-45919088941_109300/,219000.0,2024-08-02,,,compra,2024-11-06T06:39:01.040465,75.0,2,1,No especificado,No especificado,75.0,Bajo,Piso
3a80a8e8-2153-4fa5-bb91-f9efdd164bbd,Piso en venta en Vinateros,Vinateros (Distrito Moratalaz. Madrid Capital),https://www.pisos.com/comprar/piso-vinateros-49206216628_100200/,305000.0,2024-11-04,,,compra,2024-11-06T06:39:03.592044,74.0,3,1,Más de 50 años,A estrenar,No especificado,No especificado,Piso
d2ead011-e318-4388-85ec-cccc6ae3a32e,"Casa adosada en venta en Calle Marqués de Casa Tilly, S/N",El Cañaveral (Distrito Vicálvaro. Madrid Capital),https://www.pisos.com/comprar/casa_adosada-el_canaveral-43354862645_109700/,560000.0,2024-10-28,,,compra,2024-11-06T06:39:06.331594,248.0,4,3,No especificado,A estrenar,No especificado,No especificado,Casa
88284ae3-9d66-4df5-800c-2697a5b75cc1,Piso en venta en Centro,Centro (Móstoles),https://www.pisos.com/comprar/piso-mostoles_centro28931-45078412437_108900/,132641.0,2024-07-01,,,compra,2024-11-06T06:39:08.813651,87.0,2,1,No especificado,No especificado,No especificado,No especificado,Piso
137e336c-e270-4893-9e07-e10c68dfb0b0,Chalet en venta en Coimbra-Guadarrama,Coimbra-Guadarrama (Móstoles),https://www.pisos.com/comprar/chalet-coimbra_guadarrama-47503309201_108900/,580000.0,2024-09-14,,,compra,2024-11-06T06:39:11.559676,289.0,6,4,No especificado,En buen estado,No especificado,No especificado,Chalet
f36269a8-7cc7-4900-9ff0-f09cbd8a5ca6,Piso en venta en La Rábida-Indiana-La Calera,La Rábida-Indiana-La Calera (Pinto),https://www.pisos.com/comprar/piso-la_rabida_indiana_la_calera-43377570484_108900/,128305.0,2024-04-12,,,compra,2024-11-06T06:39:14.286871,90.0,3,1,No especificado,No especificado,No especificado,No especificado,Piso
c90d0e82-8bc9-45e7-b68a-8bcedc30444e,"Piso en venta en Calle de Bardala, número .",Valdeacederas (Distrito Tetuán. Madrid Capital),https://www.pisos.com/comprar/piso-valdeacederas28029-47535925022_109300/,223000.0,2024-10-16,,,compra,2024-11-06T06:39:16.932949,45.0,1,1,No especificado,No especificado,45.0,1ª,Piso
de5ceaea-de17-4e31-8cf5-7f4c69fcb434,Casa en venta en Calle Cljesus Copa,Brea de Tajo,https://www.pisos.com/comprar/casa-brea_de_tajo_centro_urbano-30931238581_108300/,118800.0,2023-12-03,,,compra,2024-11-06T06:39:19.505678,248.0,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,Casa
